CMDLINE python3 scripts/generate_text.py
MEM 2127.917969 1719625780.9185
MEM 2127.917969 1719625781.0195
MEM 2127.917969 1719625781.1226
MEM 2127.917969 1719625781.2266
MEM 2144.042969 1719625781.3305
MEM 2145.917969 1719625781.4346
MEM 2178.667969 1719625781.5385
MEM 2230.917969 1719625781.6394
MEM 2298.542969 1719625781.7403
MEM 2312.074219 1719625781.8412
MEM 2272.136719 1719625781.9420
MEM 2348.511719 1719625782.0427
MEM 2452.636719 1719625782.1467
MEM 2444.406250 1719625782.2506
MEM 2280.902344 1719625782.3550
MEM 2317.777344 1719625782.4590
MEM 2354.902344 1719625782.5631
MEM 2387.902344 1719625782.6666
MEM 2401.777344 1719625782.7706
MEM 2405.777344 1719625782.8746
MEM 2234.148438 1719625782.9754
MEM 2266.242188 1719625783.0763
MEM 2271.992188 1719625783.1772
MEM 2281.117188 1719625783.2785
MEM 2228.250000 1719625783.3794
MEM 2209.378906 1719625783.4827
MEM 2211.253906 1719625783.5865
MEM 2211.253906 1719625783.6905
MEM 2211.253906 1719625783.7945
MEM 2211.253906 1719625783.8987
MEM 2211.253906 1719625784.0029
MEM 2211.253906 1719625784.1066
MEM 2211.253906 1719625784.2106
MEM 2211.253906 1719625784.3145
MEM 2211.253906 1719625784.4193
MEM 2274.878906 1719625784.5201
MEM 2268.335938 1719625784.6226
MEM 2371.339844 1719625784.7253
MEM 2371.339844 1719625784.8266
MEM 2385.714844 1719625784.9305
MEM 2361.433594 1719625785.0346
MEM 2307.335938 1719625785.1386
MEM 2307.335938 1719625785.2425
MEM 2307.335938 1719625785.3467
MEM 2307.335938 1719625785.4505
MEM 2307.335938 1719625785.5545
MEM 2307.335938 1719625785.6585
MEM 2307.335938 1719625785.7626
MEM 2307.335938 1719625785.8666
MEM 2307.335938 1719625785.9675
MEM 2307.335938 1719625786.0683
MEM 2371.339844 1719625786.1706
MEM 2371.339844 1719625786.2746
MEM 2393.714844 1719625786.3754
MEM 2323.328125 1719625786.4785
MEM 2323.328125 1719625786.5825
MEM 2323.328125 1719625786.6874
MEM 2323.328125 1719625786.7905
MEM 2323.328125 1719625786.8945
MEM 2323.328125 1719625786.9985
MEM 2323.328125 1719625787.1025
MEM 2323.328125 1719625787.2034
MEM 2383.203125 1719625787.3042
MEM 2456.828125 1719625787.4065
MEM 2477.246094 1719625787.5106
MEM 2467.367188 1719625787.6146
MEM 2630.742188 1719625787.7185
MEM 2631.164062 1719625787.8226
MEM 2474.667969 1719625787.9266
MEM 2510.917969 1719625788.0305
MEM 2547.542969 1719625788.1345
MEM 2579.667969 1719625788.2358
MEM 2596.542969 1719625788.3386
MEM 2600.542969 1719625788.4400
MEM 2499.417969 1719625788.5409
MEM 2447.792969 1719625788.6417
MEM 2467.292969 1719625788.7459
MEM 2475.917969 1719625788.8466
MEM 2423.574219 1719625788.9474
MEM 2526.921875 1719625789.0483
MEM 2403.339844 1719625789.1505
MEM 2403.339844 1719625789.2545
MEM 2403.339844 1719625789.3585
MEM 2403.339844 1719625789.4625
MEM 2403.339844 1719625789.5665
MEM 2403.339844 1719625789.6705
MEM 2403.339844 1719625789.7745
MEM 2403.339844 1719625789.8785
MEM 2403.339844 1719625789.9825
MEM 2434.964844 1719625790.0837
MEM 2467.382812 1719625790.1864
MEM 2549.503906 1719625790.2872
MEM 2563.378906 1719625790.3882
MEM 2572.378906 1719625790.4905
MEM 2505.453125 1719625790.5913
