CMDLINE python3 train_vishwamai_model.py
MEM 1138.453125 1718984243.3299
MEM 1279.203125 1718984243.4338
MEM 1391.828125 1718984243.5378
MEM 1503.078125 1718984243.6418
MEM 1614.328125 1718984243.7458
MEM 1726.828125 1718984243.8498
MEM 1732.453125 1718984243.9539
MEM 1956.203125 1718984244.0578
MEM 2046.062500 1718984244.1587
MEM 1628.074219 1718984244.2619
MEM 1628.074219 1718984244.3658
MEM 1668.074219 1718984244.4698
MEM 1836.449219 1718984244.5739
MEM 2052.949219 1718984244.6778
MEM 2232.074219 1718984244.7819
MEM 2386.574219 1718984244.8858
MEM 2539.824219 1718984244.9881
MEM 2500.507812 1718984245.0893
MEM 2189.410156 1718984245.1900
MEM 2405.160156 1718984245.2908
MEM 2616.910156 1718984245.3938
MEM 2152.906250 1718984245.4979
MEM 2215.156250 1718984245.6018
MEM 2233.531250 1718984245.7058
MEM 2252.156250 1718984245.8111
MEM 2268.031250 1718984245.9141
MEM 2207.875000 1718984246.0157
MEM 2229.125000 1718984246.1179
MEM 2250.750000 1718984246.2218
MEM 2310.750000 1718984246.3246
MEM 2000.285156 1718984246.4254
MEM 1266.031250 1718984246.5258
MEM 1000.664062 1718984246.6298
MEM 1022.914062 1718984246.7338
MEM 1044.164062 1718984246.8343
MEM 1180.039062 1718984246.9369
MEM 988.062500 1718984247.0378
MEM 1034.058594 1718984247.1387
MEM 988.054688 1718984247.2418
MEM 924.113281 1718984247.3458
MEM 939.363281 1718984247.4496
MEM 975.988281 1718984247.5525
MEM 975.988281 1718984247.6533
MEM 975.988281 1718984247.7542
MEM 975.988281 1718984247.8562
MEM 975.988281 1718984247.9570
MEM 975.988281 1718984248.0578
MEM 994.238281 1718984248.1618
MEM 1078.113281 1718984248.2658
MEM 1081.472656 1718984248.3667
MEM 1076.722656 1718984248.4698
MEM 1209.597656 1718984248.5739
MEM 1104.148438 1718984248.6748
MEM 1159.523438 1718984248.7778
MEM 1168.613281 1718984248.8786
MEM 1216.238281 1718984248.9819
MEM 1351.863281 1718984249.0858
MEM 1461.738281 1718984249.1898
MEM 1570.863281 1718984249.2907
MEM 1677.863281 1718984249.3938
MEM 1790.863281 1718984249.4975
MEM 1812.191406 1718984249.6018
MEM 2030.941406 1718984249.7047
MEM 2069.238281 1718984249.8059
MEM 1680.164062 1718984249.9101
MEM 1680.164062 1718984250.0138
MEM 1738.289062 1718984250.1178
MEM 1963.289062 1718984250.2213
MEM 2179.914062 1718984250.3218
MEM 2330.289062 1718984250.4246
MEM 2482.414062 1718984250.5258
